Rotor 1 : vbmrotor_1
Iteration, Elapsed Time, Thrust [N], Torque [Nm], Power [W], Roll_Moment [Nm], Pitch_Moment [Nm], X_Force [N], Y_Force [N]
213, 0, 25.24958, -7.227212, 578.1769, -9.443863e-07, -2.722093e-05, -1.710277e-05, 8.025218e-05
214, 0, 25.24959, -7.227213, 578.177, -6.904318e-07, -2.72115e-05, -1.575403e-05, 8.002866e-05
215, 0, 25.24959, -7.227214, 578.1771, -4.153951e-07, -2.719581e-05, -1.445824e-05, 7.983639e-05
216, 0, 25.24959, -7.227215, 578.1772, -1.170451e-07, -2.716676e-05, -1.317363e-05, 7.963526e-05
217, 0, 25.2496, -7.227216, 578.1772, 2.043573e-07, -2.712592e-05, -1.19128e-05, 7.943683e-05
218, 0, 25.2496, -7.227217, 578.1773, 5.485389e-07, -2.707181e-05, -1.065762e-05, 7.922703e-05
219, 0, 25.2496, -7.227218, 578.1774, 9.151854e-07, -2.700526e-05, -9.395285e-06, 7.900339e-05
220, 0, 25.24961, -7.227218, 578.1775, 1.303177e-06, -2.692679e-05, -8.11204e-06, 7.875892e-05
221, 0, 25.24961, -7.227219, 578.1776, 1.709414e-06, -2.683864e-05, -6.817037e-06, 7.850273e-05
222, 0, 25.24962, -7.22722, 578.1776, 2.130526e-06, -2.674113e-05, -5.515628e-06, 7.823163e-05
223, 0, 25.24962, -7.227221, 578.1777, 2.564471e-06, -2.663606e-05, -4.206654e-06, 7.795326e-05
224, 0, 25.24962, -7.227222, 578.1778, 3.008262e-06, -2.652522e-05, -2.895289e-06, 7.767176e-05
225, 0, 25.24963, -7.227223, 578.1779, 3.479767e-06, -2.640581e-05, -1.48395e-06, 7.737102e-05
226, 0, 25.24963, -7.227224, 578.1779, 3.959567e-06, -2.628722e-05, -4.940317e-08, 7.707788e-05
227, 0, 25.24963, -7.227225, 578.178, 4.438641e-06, -2.616657e-05, 1.353122e-06, 7.678931e-05
228, 0, 25.24964, -7.227226, 578.1781, 4.915577e-06, -2.604339e-05, 2.715507e-06, 7.650846e-05
229, 0, 25.24964, -7.227227, 578.1782, 5.389955e-06, -2.591736e-05, 4.046565e-06, 7.622926e-05
230, 0, 25.24964, -7.227228, 578.1782, 5.861473e-06, -2.578933e-05, 5.348219e-06, 7.595448e-05
231, 0, 25.24965, -7.227229, 578.1783, 6.329676e-06, -2.56598e-05, 6.6248e-06, 7.568273e-05
